"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição"
2024-07-01,2026-05-06,"Publicação do Instagram: Alta Performance hoje, é...",archived,23,actions:link_click,0.59782609,11,Diário,13.75,995,852,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: A vida acontece no...",archived,28,actions:link_click,0.56535714,110,Total,15.83,1287,1108,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Maratona 🏅 Iniciantes ou...",archived,25,actions:link_click,0.6568,110,Total,16.42,613,546,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O que Ingerir de Pré-...",archived,13,actions:link_click,1.00230769,11,Diário,13.03,1224,1085,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: VOCÊ PODE ESTAR EM RED...",inactive,273,actions:link_click,0.63391941,11,Diário,173.06,21639,14194,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Alta Performance hoje, é...",inactive,36,actions:onsite_conversion.messaging_conversation_started_7d,8.00222222,23,Diário,288.08,6916,4667,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Você não vai precisar...",inactive,301,actions:link_click,0.53139535,170,Total,159.95,13946,8281,2024-08-06,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Quebrar no fim do treino...",inactive,223,actions:link_click,0.61560538,170,Total,137.28,22367,14674,2024-08-07,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Chegou a hora de...",inactive,140,actions:link_click,0.42092857,170,Total,58.93,19604,11775,2024-08-12,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Maratona 🏅 Iniciantes ou...",inactive,78,actions:link_click,0.54038462,120,Total,42.15,5185,4068,2024-08-12,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Antes de pensar na sua...",inactive,120,actions:link_click,0.4775,17,Diário,57.3,4672,3434,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O espinafre (Spinacia...",inactive,77,actions:link_click,0.5487013,120,Total,42.25,6739,4816,2024-08-12,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Dieta soa “ restrição”....",archived,14,actions:link_click,0.88,17,Diário,12.32,809,689,2024-08-16,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"VÍDEO AGOSTO 2024 - CONSULTAS. Campanha",inactive,16795,actions:link_click,0.07236261,"Usando o orçamento do conjunto de anúncios",0,1215.33,143081,76214,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: É o 1º passo para o...",completed,865,actions:link_click,0.20997688,187,Total,181.63,24405,17310,2024-09-03,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Maratona 🏅 Iniciantes ou...",inactive,181,actions:link_click,0.41314917,170,Total,74.78,7084,5633,2024-09-03,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: ✅O carboidrato é o...",completed,213,actions:link_click,0.23943662,51,Total,51,9953,6919,2024-08-27,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O que colocar dentro da...",completed,733,actions:link_click,0.13915416,102,Total,102,13639,10768,2024-08-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O que é realizar um...",completed,9,actions:onsite_conversion.messaging_conversation_started_7d,9.34666667,84.12,Total,84.12,2636,1757,2024-08-27,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: É o 1º passo para o...",inactive,1215,actions:link_click,0.21127572,330,Total,256.7,34988,23963,2024-10-05,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O artigo intitulado...",inactive,517,actions:link_click,0.49473888,255.78,Total,255.78,25401,15354,2024-09-23,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: ~ Se você deseja ser meu...",inactive,303,actions:link_click,0.40834983,142.1,Total,123.73,12931,7273,2024-09-15,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTÊNCIA - SETEMBRO 1 Campanha",inactive,1277,actions:link_click,0.10080658,"Usando o orçamento do conjunto de anúncios",0,128.73,14007,12233,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTÊNCIA 2 - SETEMBRO Campanha",inactive,1749,actions:link_click,0.2838422,"Usando o orçamento do conjunto de anúncios",0,496.44,59985,41187,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Acabe com as dúvidas do...",archived,589,actions:link_click,0.35168081,28.02,Diário,207.14,16870,14071,2024-09-25,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"*Refazer* Publicação do Instagram: Atleta: imagino que deve...",archived,455,actions:link_click,0.31707692,22.01,Diário,144.27,11905,9421,2024-11-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"*Refazer* Publicação do Instagram: O intestino tem a...",archived,1918,actions:link_click,0.1135975,19.25,Diário,217.88,38477,32355,2024-12-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"*Refazer* Publicação do Instagram: Não sabe a quantidade de...",inactive,315,actions:link_click,0.56028571,30.26,Diário,176.49,13907,11714,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"SEGUIDORES AUTOMAÇÃO [DIRECT] [Q] [IG]",inactive,53,actions:onsite_conversion.messaging_conversation_started_7d,4.08943396,"Usando o orçamento do conjunto de anúncios",0,216.74,10737,4258,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"LIVE CASCAIS [INCREMENTALIDADE] [Q] [IG] - Vídeo e criativo",inactive,630,estimated_ad_recallers,0.77055556,"Usando o orçamento do conjunto de anúncios",0,485.45,24047,13418,2024-10-18,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"HOTMART [VENDAS] [Q/F] [IG]",inactive,2,actions:offsite_conversion.fb_pixel_initiate_checkout,16.69,"Usando o orçamento do conjunto de anúncios",0,33.38,1158,912,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTENCIA [VENDAS] [Q/F] [IG] - Vídeos e criativos",inactive,4,actions:offsite_conversion.fb_pixel_purchase,238.7525,"Usando o orçamento do conjunto de anúncios",0,955.01,26158,14113,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"SEGUIDORES GANHO [VISITAS AO PERFIL] [Q] [IG]",inactive,1042,profile_visit_view,0.5987428,"Usando o orçamento do conjunto de anúncios",0,623.89,31626,6743,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTÊNCIA RMK [FINALIZAÇÃO] [Q] [IG]",inactive,21,actions:offsite_conversion.fb_pixel_initiate_checkout,3.64047619,"Usando o orçamento do conjunto de anúncios",0,76.45,3518,2085,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Uma boa Nutrição pode...",inactive,290,actions:link_click,0.35468966,318,Total,102.86,8423,7727,2024-11-08,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Atleta: imagino que deve...",inactive,397,actions:link_click,0.14528967,174,Total,57.68,7311,6921,2024-11-08,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Já basta ficar cansado...",inactive,377,actions:link_click,0.15312997,174,Total,57.73,7751,7311,2024-11-08,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O intestino tem a...",inactive,235,actions:link_click,0.21693617,29,Diário,50.98,8654,7515,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"CARINA MAIS POTÊNCIA 1",inactive,1107,actions:link_click,0.18484192,"Usando o orçamento do conjunto de anúncios",0,204.62,26988,22461,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTÊNCIA CAPITAIS [COMPRA] [F] [IG] - Fragmentação de esportistas",inactive,1,actions:offsite_conversion.fb_pixel_purchase,385.45,100,Diário,385.45,7813,4033,2024-11-13,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: A periodização...",archived,,,,15,Diário,403.53,10518,5679,2025-02-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTÊNCIA 197 [VENDAS] [FRIO] [IG] - Criativos novos",inactive,2,actions:offsite_conversion.fb_pixel_purchase,191.8,"Usando o orçamento do conjunto de anúncios",0,383.6,7787,5420,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"CONSULTA INDIV [WPP] [Q/F] [IG]",inactive,184,actions:onsite_conversion.messaging_conversation_started_7d,13.6761413,"Usando o orçamento do conjunto de anúncios",0,2516.41,69545,29124,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Embora não existam...",completed,439,actions:link_click,0.10733485,48,Total,47.12,12306,10849,2024-12-11,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Um estudo com triatletas...",completed,96,actions:link_click,0.4921875,48,Total,47.25,4498,3369,2024-12-11,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Eu sei que você quer...",inactive,704,actions:link_click,0.32973011,18,Diário,232.13,19763,12504,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Uma boa Nutrição pode...",completed,224,actions:link_click,0.32116071,72,Total,71.94,4816,4374,2024-12-13,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MANIPULADO ELETRÓLITOS [VENDAS] [F/Q] [IG]",inactive,4,actions:offsite_conversion.fb_pixel_purchase,487.34,"Usando o orçamento do conjunto de anúncios",0,1949.36,88388,25241,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O meu papel aqui é...",completed,60,actions:link_click,0.79816667,48,Total,47.89,2158,1737,2024-12-18,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: É hora de planejar o...",archived,18,actions:link_click,0.59777778,12,Diário,10.76,1823,1742,2024-12-16,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTÊNCIA 397 [VENDAS] [FRIO] [IG] - Criativos novos — Cópia",inactive,1,actions:offsite_conversion.fb_pixel_purchase,449.45,"Usando o orçamento do conjunto de anúncios",0,449.45,9617,6585,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"CARINA - AGENDAMENTO 2025 PERIDIZAÇÃO NUTRICIONAL",inactive,7404,actions:link_click,0.15789843,"Usando o orçamento do conjunto de anúncios",0,1169.08,227524,138591,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Assim como o treinamento...",inactive,25,actions:link_click,1.1284,84,Total,28.21,3412,3010,2025-01-01,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Sim, é possível...",archived,1638,actions:link_click,0.27150183,20.64,Diário,444.72,41389,22197,2025-05-14,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Emagrecer e ganhar...",inactive,2683,actions:link_click,0.19924338,19,Diário,534.57,89763,55300,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🎯Emagreça 
🎯Ganhe...",inactive,190,actions:link_click,0.72605263,12,Diário,137.95,11136,8684,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🎯Emagreça 
🎯Ganhe...",archived,238,actions:link_click,0.77642857,12,Diário,184.79,12276,9345,2025-03-23,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Chamada para 1ª consulta...",inactive,148,actions:link_click,0.47006757,12,Diário,69.57,4409,3702,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"CARINA - AGENDAMENTO 2025 PERIDIZAÇÃO NUTRICIONAL — Cópia",inactive,105,profile_visit_view,0.18219048,12,Diário,19.13,2731,2566,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Emagrecer e ganhar... — Cópia",inactive,163,profile_visit_view,0.11257669,12,Diário,18.35,1677,1420,Contínuo,"Clique de 1 dia"
2024-07-01,2026-05-06,"VENDAS MAIS POTENCIA - JANEIRO",archived,,,,"Usando o orçamento do conjunto de anúncios",0,23.48,1383,1193,2025-01-30,—
2024-07-01,2026-05-06,"Publicação do Instagram: Respeitando a...",archived,39,actions:link_click,0.56820513,12,Diário,22.16,1617,1394,2025-01-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Eu sei que você quer dar...",archived,423,actions:link_click,0.24210402,30,Diário,102.41,9987,8800,2025-03-04,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Assim como o treinamento...",completed,31,actions:link_click,0.96096774,84,Total,29.79,10648,10234,2025-02-06,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: É hora de planejar o...",inactive,88,actions:link_click,0.475,18,Diário,41.8,15268,13273,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"LEADS - PROGRAMA NUTRICIONAL NO ENDURANCE",inactive,32,actions:offsite_conversion.fb_pixel_lead,25.059375,"Usando o orçamento do conjunto de anúncios",0,801.9,34297,21142,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"( vendas) FÓRMULA",inactive,41,actions:offsite_conversion.fb_pixel_add_to_cart,1.9997561,"Usando o orçamento do conjunto de anúncios",0,81.99,5850,4913,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: As diferenças na...",inactive,187,actions:link_click,0.05828877,12,Diário,10.9,3315,3065,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"(LEADS PERIODIZAÇÃO NUTRICIONAL) - MENSAGEM",inactive,1,actions:onsite_conversion.messaging_conversation_started_7d,8.44,"Usando o orçamento do conjunto de anúncios",0,8.44,464,379,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"01 - CONVERSÃO FÓRMULA - INTERESSES",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,1.03,56,53,2025-03-04,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"PLANO DE PROVA - TRIATLETAS",inactive,2156,actions:link_click,0.25070965,"Usando o orçamento do conjunto de anúncios",0,540.53,79607,54969,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"TRIATLETAS SUL - SITE",inactive,2712,actions:link_click,0.22411873,"Usando o orçamento do conjunto de anúncios",0,607.81,88734,59215,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"PLANO DE PROVA - TRIATLETAS — Cópia",inactive,1126,actions:link_click,0.19071936,"Usando o orçamento do conjunto de anúncios",0,214.75,29847,23570,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"LEADS - PROGRAMA NUTRICIONAL NO ENDURANCE — Cópia",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,19.45,1177,1121,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"LEADS - PROGRAMA NUTRICIONAL NO ENDURANCE — Cópia",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,19.31,1140,1103,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O cansaço pode estar...",archived,33,actions:link_click,1.06636364,12,Diário,35.19,1859,1592,2025-03-23,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MENSAGENS WHATSAPP - TODOS PÚBLICOS",inactive,171,actions:link_click,0.29602339,"Usando o orçamento do conjunto de anúncios",0,50.62,7765,5735,2025-02-09,—
2024-07-01,2026-05-06,"MENS. WHATS. ( PLANO DE PROVA) TRIATLETA - SUDESTE",inactive,5,actions:link_click,6.086,"Usando o orçamento do conjunto de anúncios",0,30.43,786,532,2025-02-09,—
2024-07-01,2026-05-06,"Publicação do Instagram: ‼️Analisar seus...",inactive,996,actions:link_click,0.22029116,18,Diário,219.41,37421,26061,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FÓRMULA - INTERESSES",archived,,,,"Usando o orçamento do conjunto de anúncios",0,27.38,1502,1226,2025-08-30,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"FÓRMULA - INTERESSES — Cópia",archived,,,,"Usando o orçamento do conjunto de anúncios",0,4.94,202,186,2025-08-30,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"FÓRMULA - VENDAS - FRIO - FEVEREIRO",archived,2,actions:purchase,106.105,"Usando o orçamento do conjunto de anúncios",0,212.21,14703,11674,2025-02-22,—
2024-07-01,2026-05-06,"FÓRMULA - VENDAS - FRIO - FEVEREIRO — Cópia",inactive,51,actions:offsite_conversion.fb_pixel_add_to_cart,2.76509804,"Usando o orçamento do conjunto de anúncios",0,141.02,7932,5489,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Há 7 anos atrás eu era...",archived,68,actions:link_click,0.36794118,11,Diário,25.02,3478,3249,2025-02-20,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O que eu “ pego” de...",inactive,1671,actions:link_click,0.10322561,11,Diário,172.49,32975,25447,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FÓRMULA -  ( morno e  quente) PODCAST ATUALIZADO",archived,,,,"Usando o orçamento do conjunto de anúncios",0,57.86,2263,1859,2025-02-22,—
2024-07-01,2026-05-06,"FÓRMULA - FEVEREIRO",archived,10,actions:purchase,50.564,"Usando o orçamento do conjunto de anúncios",0,505.64,44946,29745,2025-08-30,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,LEADS,inactive,2,actions:offsite_conversion.fb_pixel_lead,55.95,"Usando o orçamento do conjunto de anúncios",0,111.9,6150,5209,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"VENDAS - ELETRÓLITOS - FEVEREIRO",inactive,367,actions:offsite_conversion.fb_pixel_add_to_cart,0.90689373,"Usando o orçamento do conjunto de anúncios",0,332.83,35888,24488,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: O meu papel aqui é...",archived,253,actions:link_click,0.27264822,17,Diário,68.98,5591,4774,2025-03-05,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Quer aprender a...",inactive,512,actions:link_click,0.08630859,17,Diário,44.19,8164,7800,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FÓRMULA - FEVEREIRO — Cópia",archived,4,actions:purchase,219.74,"Usando o orçamento do conjunto de anúncios",0,878.96,66480,36588,2025-08-30,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 📢 CARBOIDRATO...",completed,138,actions:link_click,0.30347826,42,Total,41.88,7774,6669,2025-03-05,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Eu sei que você tem medo...",archived,34,actions:link_click,0.45147059,18,Diário,15.35,3604,3423,2025-03-05,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: A Palatinose é um...",archived,257,actions:link_click,0.11782101,24,Diário,30.28,8786,7769,2025-03-05,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Eu sei que você quer dar...",archived,,,,30,Diário,24.92,1171,779,2025-03-05,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MEGA AULA",completed,,,,"Usando o orçamento do conjunto de anúncios",0,366.5,13423,10499,2025-03-16,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MEGA AULA — Cópia",completed,,,,"Usando o orçamento do conjunto de anúncios",0,366.96,15357,9208,2025-03-16,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: ‼️Não é porque você tem...",inactive,3,actions:onsite_conversion.messaging_conversation_started_7d,40.28333333,35,Diário,120.85,12352,8976,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FÓRMULA - PODCAST",inactive,197,actions:offsite_conversion.fb_pixel_add_to_cart,2.24878173,"Usando o orçamento do conjunto de anúncios",0,443.01,35548,23891,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"FÓRMULA - VÍDEO NARRADO",archived,,,,"Usando o orçamento do conjunto de anúncios",0,172.42,12460,9489,2025-03-19,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"AGENDAR CONSULTA - MARÇO",inactive,3121,actions:link_click,0.21719962,"Usando o orçamento do conjunto de anúncios",0,677.88,149310,76398,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"AGENDA CONSULTA - MARÇO",archived,34,actions:link_click,3.14441176,"Usando o orçamento do conjunto de anúncios",0,106.91,6034,3351,2025-03-26,—
2024-07-01,2026-05-06,"Instagram post: A periodização nutricional é a...",completed,150,actions:link_click,0.38666667,58,Total,58,4279,3555,2025-03-25,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: O cansaço pode estar relacionado...",inactive,168,actions:link_click,1.39577381,12,Diário,234.49,10320,7409,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Instagram post: 🔴A bicicleta vai te levar mais...",inactive,412,actions:link_click,0.57029126,12,Diário,234.96,14669,9208,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FEED - AGENDA CONSULTA - MAIO",archived,4866,actions:link_click,0.20277024,"Usando o orçamento do conjunto de anúncios",0,986.68,124855,65359,2025-08-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FEED - NUTRICIONISTA",archived,3885,actions:link_click,0.22047104,"Usando o orçamento do conjunto de anúncios",0,856.53,109207,57153,2025-08-30,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FEED - VÍDEO",inactive,1525,profile_visit_view,0.39433443,"Usando o orçamento do conjunto de anúncios",0,601.36,129005,76305,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"FEED - VÍDEO JOSI",inactive,569,profile_visit_view,0.39855888,"Usando o orçamento do conjunto de anúncios",0,226.78,43390,33572,Contínuo,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIO - FÓRMULA ELETRÓLITOS",inactive,307,actions:offsite_conversion.fb_pixel_add_to_cart,1.64824104,"Usando o orçamento do conjunto de anúncios",0,506.01,47980,28933,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
2024-07-01,2026-05-06,"FEED : AGENDAR CONSULTA - MARÇO — Cópia DO ALTO DESEMPENHO",archived,263,actions:link_click,0.41490494,"Usando o orçamento do conjunto de anúncios",0,109.12,18630,14927,2025-04-02,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"MAIS POTÊNCIA - ABRIL",inactive,25,actions:offsite_conversion.fb_pixel_purchase,7.6436,"Usando o orçamento do conjunto de anúncios",0,191.09,9838,6574,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia"
